TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD
20220707003213,767,0,64,27,3.52,15,18
20220707003214,767,0,64,27,3.52,15,18
20220707003215,767,0,64,27,3.52,15,18
20220707003216,767,0,64,27,3.52,15,18
20220707003217,767,0,64,27,3.52,15,18
20220707003218,767,0,64,27,3.52,15,18
20220707003219,767,0,64,27,3.52,15,18
20220707003220,767,0,64,27,3.52,15,18
20220707003221,767,0,64,27,3.52,15,18
20220707003222,767,0,64,27,3.52,15,18
20220707003223,767,0,64,27,3.52,15,18
20220707003224,1024,0,64,27,3.52,15,18
20220707003225,1024,0,64,27,3.52,15,18
20220707003226,1024,0,64,27,3.52,15,18
20220707003227,1024,0,64,27,3.52,14,18
20220707003228,1024,0,64,27,4.05,14,18
20220707003229,1024,0,64,27,4.05,14,18
20220707003230,1024,0,64,27,4.05,14,18
20220707003231,1024,0,64,27,4.05,14,22
20220707003232,1024,0,64,27,4.05,14,22
20220707003233,1024,0,66,27,4.05,14,22
20220707003234,1024,0,66,27,4.05,14,22
20220707003235,1024,0,66,27,4.05,14,22
20220707003236,1024,0,66,27,4.05,14,22
20220707003237,1024,0,66,27,4.05,14,22
20220707003238,1024,0,66,27,4.05,14,22
20220707003239,1024,0,66,27,4.05,14,22
20220707003240,1024,0,66,27,4.05,14,22
20220707003241,1024,0,66,27,4.05,14,22
20220707003242,1024,0,66,27,4.05,14,22
20220707003243,1024,0,66,27,4.05,14,22
20220707003244,1744,0,66,27,4.05,14,22
20220707003245,1744,0,66,27,4.05,15,22
20220707003246,1744,0,66,27,3.42,15,22
20220707003247,1744,0,66,27,3.42,15,22
20220707003248,1744,0,66,27,3.42,15,17
20220707003249,1744,0,66,27,3.42,15,17
20220707003250,1744,0,68,27,3.42,15,17
20220707003251,1744,0,68,28,3.42,15,17
20220707003252,1744,0,68,28,3.42,15,17
20220707003253,725,0,68,28,3.42,15,17
20220707003254,725,0,68,28,3.42,15,17
20220707003255,725,0,68,28,3.42,15,17
20220707003256,725,0,68,28,3.21,15,17
20220707003257,725,0,68,28,3.21,15,17
20220707003258,725,0,68,28,3.21,15,17
20220707003259,725,0,68,28,3.21,15,18
20220707003300,725,0,68,28,3.21,15,18
20220707003301,737,0,68,28,3.21,15,18
20220707003302,737,0,68,28,3.21,15,18
20220707003303,737,0,68,28,3.3200000000000003,15,18
20220707003304,737,0,68,28,3.3200000000000003,15,18
20220707003305,737,0,68,28,3.3200000000000003,15,18
20220707003306,737,0,68,28,3.3200000000000003,15,18
20220707003307,737,0,68,28,3.3200000000000003,15,18
20220707003308,737,0,68,28,3.3200000000000003,15,18
20220707003309,737,0,68,28,3.3200000000000003,15,18
20220707003310,737,0,68,28,3.3200000000000003,15,18
20220707003311,1908,0,68,28,3.3200000000000003,15,18
20220707003312,1908,0,68,28,3.3200000000000003,15,18
20220707003313,1908,0,68,28,3.3200000000000003,15,18
20220707003314,1908,0,68,28,3.3200000000000003,15,18
20220707003315,1908,0,68,28,3.3200000000000003,15,18
20220707003316,1908,0,68,28,3.3200000000000003,15,18
20220707003317,1908,0,68,28,3.3200000000000003,15,18
20220707003318,1908,0,68,28,3.3200000000000003,15,18
20220707003319,1908,0,68,28,3.3200000000000003,15,18
20220707003320,1908,0,68,28,3.3200000000000003,15,18
20220707003321,1908,0,68,28,3.3200000000000003,15,18
20220707003322,1908,0,69,28,3.3200000000000003,15,18
20220707003323,1908,0,69,28,3.3200000000000003,15,18
20220707003324,1908,0,69,28,3.3200000000000003,15,18
20220707003325,720,0,69,28,3.3200000000000003,15,18
20220707003326,720,0,69,28,3.3200000000000003,15,18
20220707003327,720,0,69,28,3.3200000000000003,12,18
20220707003328,720,0,69,28,3.3200000000000003,12,18
20220707003329,720,0,69,28,4.09,12,18
20220707003330,720,0,69,28,4.09,12,18
20220707003331,720,0,69,28,4.09,12,18
20220707003332,720,0,69,28,4.09,12,0
20220707003333,720,0,70,28,4.09,12,0
20220707003334,720,0,70,28,4.09,12,0
20220707003335,720,0,70,28,4.09,12,0
20220707003336,720,0,70,28,4.09,12,0
20220707003337,720,0,70,28,4.09,12,0
20220707003338,720,0,70,28,4.09,12,0
20220707003339,720,0,70,28,4.09,12,0
20220707003340,720,0,70,28,4.09,12,0
20220707003341,720,0,70,28,4.09,12,0
20220707003342,720,0,70,28,4.09,12,0
20220707003343,720,0,70,28,4.09,12,0
20220707003344,720,0,70,28,4.09,12,0
20220707003345,720,0,70,28,4.09,12,0
20220707003346,720,0,70,28,4.09,12,0
20220707003347,720,0,70,28,4.09,12,0
20220707003348,720,0,70,28,4.09,12,0
20220707003349,720,0,70,28,4.09,12,0
20220707003350,720,0,70,28,4.09,12,0
20220707003351,720,0,70,28,4.09,12,0
20220707003352,720,0,70,28,4.09,12,0
20220707003353,720,0,70,28,4.09,12,0
20220707003354,720,0,70,28,4.09,12,0
20220707003355,720,0,70,28,4.09,12,0
20220707003356,720,0,70,28,4.09,12,0
20220707003357,720,0,70,28,4.09,12,0
